3.876540696752835830e-02,3.950957997607300320e-02,3.878042391164697456e-02,3.719363348311344880e-02,4.640402587586326538e-02,7.118865786896214076e-02,2.033244177179918122e-01,2.444875300964588494e-01,1.115241697715589064e-01,6.534039240943531612e-02,5.179510881444563536e-02,5.168665310692231035e-02
4.375593368874607786e-02,4.563463083327247427e-02,4.738004819981012083e-02,4.464872562623237867e-02,5.337398670853720634e-02,7.001570145329730210e-02,1.807365077046666213e-01,2.462900752209157829e-01,9.270064996713649197e-02,6.964689987584897490e-02,5.827612648798656536e-02,4.754071423354998965e-02
3.676199912614779020e-02,4.011291271454964225e-02,4.306990473634778049e-02,4.143057175393147218e-02,4.973388791985330210e-02,7.634681611603656715e-02,1.978552776889017373e-01,2.519463853825855693e-01,9.650906363639491503e-02,6.152917255828835308e-02,4.980269518039543569e-02,5.490131318656744919e-02
3.750627040872813595e-02,3.645106484183534973e-02,3.555304663270508758e-02,3.321847265828425239e-02,4.562123860904223477e-02,4.343018352649153507e-02,1.915662831750752915e-01,2.975488340115170494e-01,1.425990041155750787e-01,5.947149509780470800e-02,4.173256006265625012e-02,3.530154686028504074e-02
3.980003016786260589e-02,4.365328898265739832e-02,4.407838159211874274e-02,4.061691320079063167e-02,5.389860855631106035e-02,8.286955141955465454e-02,1.896677029523367308e-01,1.967375611437929550e-01,1.186380581299451287e-01,7.453421016030105373e-02,6.281771754653001083e-02,5.268797614779902050e-02
3.024279381438404329e-02,2.785932803990801704e-02,3.460773312780029282e-02,3.382907100227426633e-02,4.463854725703605281e-02,6.889577164308786916e-02,2.204341832673105961e-01,2.748297467923709880e-01,1.117000314946672707e-01,6.392626132977131947e-02,4.408936888801667786e-02,4.494716334337258562e-02
4.373766122151571262e-02,4.774419623302671861e-02,4.673529674308146004e-02,4.433137573617485644e-02,5.299213432064320273e-02,8.922532711386239879e-02,1.645004390581113751e-01,2.177665954624433964e-01,1.054673633470551986e-01,7.079111421115892588e-02,6.231096109094003827e-02,5.439753546198670270e-02
3.203663103763097070e-02,4.148008521156939382e-02,3.742911974958232357e-02,3.650526982628515826e-02,4.879480283955754671e-02,7.149822061846705656e-02,1.777036972629199296e-01,2.522187925048599011e-01,1.174376284850103397e-01,7.391730999745359243e-02,5.428976902199228460e-02,5.668867344467148212e-02
2.966804309087091654e-02,2.939751382256510295e-02,3.047963089578835730e-02,2.886991445353087951e-02,3.858608752765858851e-02,4.689981534022083509e-02,1.325337690514516997e-01,3.062391317221812570e-01,1.932911433293673653e-01,6.949641178592386170e-02,5.130500088830505789e-02,4.323353809213607846e-02
3.678922808073178258e-02,4.286075495611985781e-02,4.200139545899719135e-02,4.040909992894681224e-02,4.842178708368272827e-02,5.664091255336990705e-02,1.870059082965798425e-01,2.812634024875017014e-01,1.085433456449517026e-01,6.420071565282516046e-02,4.890187618822053328e-02,4.296157366807279443e-02
4.473783448297534437e-02,4.516993227849095544e-02,4.684529327655830022e-02,4.550382602957120382e-02,5.145106296057697093e-02,1.153720754835567130e-01,2.314256870354948759e-01,1.522378737645931346e-01,8.561625001964080772e-02,6.773132944707194181e-02,6.173106233207108218e-02,5.217777288939867697e-02
2.969972023285779444e-02,2.853924503733406767e-02,3.323699028306333070e-02,3.311031869481954187e-02,3.554840625349028199e-02,3.941529484514738613e-02,2.037750857416825712e-01,3.129346674257881822e-01,1.348657417370624778e-01,6.192197574988218128e-02,4.633456009545317000e-02,4.061799390341904598e-02
3.552732832179046618e-02,3.299775715890172073e-02,2.995479184870625949e-02,2.746715354111629870e-02,3.042625314071419756e-02,3.789030138389755387e-02,1.805878079656558499e-01,3.311369583720079057e-01,1.417273843078188933e-01,6.490072679838115866e-02,4.896170850318973256e-02,3.842182865781997025e-02
4.194671042722033366e-02,4.329916521987300232e-02,4.139970350639363833e-02,4.084318342172647831e-02,4.908475436218200094e-02,6.102060392735113997e-02,1.911749550106626727e-01,2.654410540585535050e-01,1.027199720947194056e-01,6.321180266527140490e-02,5.312943452168605168e-02,4.672866078436035964e-02
3.887430604172362192e-02,4.071537952188981208e-02,3.779494708296524813e-02,3.382360145579132310e-02,4.890934174906721305e-02,6.953094504751233806e-02,2.149978744688147425e-01,2.403667608010961187e-01,1.118171632297327855e-01,6.660893228800394972e-02,4.875921129360302059e-02,4.780153701979983349e-02
